"","Q5","Q6","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q8_1","Q8_2","Q8_3","Q8_4","Q8_5","Q8_7","Q8_8","Q8_9","Q8_10","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q9_8","Q9_9","Q9_10","Q9_11","Q9_12","Q9_13","Q10_1","Q10_2","Q10_3","Q10_4","Q10_5","Q10_6","Q10_7","Q10_8","Q10_9","Q10_10","Q10_11","Q10_12","Q10_13","Q10_14","Q10_15","Q11_1","Q11_2","Q11_3","Q11_4","Q11_5","Q11_6","Q11_11","Q11_12","Q11_7","Q11_8","Q11_9","Q11_10","Q15_1","Q15_2","Q15_3","Q15_4","Q15_5","Q15_6","Q15_7","Q15_8","Q15_9","Q15_10","Q15_11","Q15_12","Q15_13","Q15_14","Q15_15","Q15_16","Q15_17","Q15_18","Q15_19","Q15_20","Q15_21","Q15_22","Q15_23","Q16","Q17","Q18","Q19","Q20","Q22","Q23","Q26","Q28","currency","tot_spent_usd","spent_mon","spent_ord"
"1","4","1","0","0","0","0","1","0","0","0","0","0","1","1","0","1","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","2",57,"3","5","3","4","4","2","4","CAD",4.7321,1,"<5"
"2","6","3","0","0","1","1","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","1","0","1","0","1","0","0","1","1","0","1","0","2",20,"2","11","9","1","3","4","8","JPY",5.85,1,"<5"
"3","7","2","0","1","1","1","1","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","1","0","1","1","1","1","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","1","1","1","0","1","0","0","1","0","1","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1",29,"3","3","2","1","3","3","2","USD",50,1,"0"
"4","3","1","0","1","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1",64,"3","12","10","3","5","8","9","MXN",9.8,1,"5+"
"5","3","1","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","1","1","0","0","1","1","1","1","1","1","0","1",39,"2","16","16","4","7","1","6","EUR",2.34,1,"<5"
"6","2","1","0","1","0","0","1","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","1","0","2",23,"1","15","13","4","2","6","6","EUR",0,0,"<5"
"7","2","1","0","1","1","0","1","0","0","0","0","1","1","0","1","1","0","0","0","1","0","1","1","0","1","1","1","0","0","0","0","1","1","0","0","0","1","1","0","1","0","0","0","1","0","0","0","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","2",30,"3","12","10","3","4","3","9","MXN",1.715,1,"5+"
"8","5","3","0","1","1","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","1","0","0","1","0","1","1","1","0","0","0","0","0","0","1","0","1","0","0","0","1",67,"3","11","9","1","5","1","8","JPY",4.5,1,"<5"
"9","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2",65,"2","7","5","4","5","8","6","EUR",0,0,"<5"
"10","5","3","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","1",30,"3","3","2","4","5","1","2","BRL",1.44,1,"5+"
"11","4","2","0","0","1","1","1","0","1","0","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","1","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","1","1","0","0","0","1","1","0","1","1","1","0","0","2",20,"2","16","1","4","5","4","1","USD",5,1,"5+"
"12","6","4","0","1","0","1","1","0","1","0","1","1","0","1","0","0","0","1","0","0","0","1","1","1","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","1","0","1","0","0","0","1","0","0","1","1","0","0","0","2",26,"1","10","8","4","6","1","6","EUR",0.9243,1,"5+"
"13","3","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","1","1","0","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","1","0","0","1","1","0","1","1","0","1","0","2",42,"7","5","3","5","5","1","4","USD",0.99,1,"<5"
"14","5","2","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1","0","0","2",30,"1","12","10","3","6","1","9","MXN",0.98,1,"5+"
"15","3","2","0","1","0","0","1","0","0","0","0","0","1","1","0","1","0","1","0","0","0","1","0","0","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1",23,"2","9","7","1","5","2","7","INR",0.65,1,"5+"
"16","5","1","0","1","1","1","1","0","1","0","0","1","1","1","0","0","0","1","1","1","0","1","1","1","1","1","0","1","0","0","1","0","1","1","1","1","1","1","0","0","1","1","1","1","0","0","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","1","1","0","0","0","1","0","1","0","2",28,"3","5","3","4","4","3","4","CAD",2.3621,1,"<5"
"17","7","5","1","0","1","1","1","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1",25,"3","6","4","1","5","1","5","RMB",7.5,1,"<1"
